{'source_ip': '23.108.108.219', 'dest_ip': '10.0.2.15', 'source_port': 443, 'dest_port': 35188, 'timestamp': 1686053591.5138173, 'total_length': 60, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': True, 'cache_control': False, 'data': ''}
{'source_ip': '23.108.108.219', 'dest_ip': '10.0.2.15', 'source_port': 443, 'dest_port': 35204, 'timestamp': 1686053591.5138178, 'total_length': 2974, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': True, 'cache_control': True, 'data': ''}
{'source_ip': '10.0.2.15', 'dest_ip': '23.108.108.219', 'source_port': 35204, 'dest_port': 443, 'timestamp': 1686053591.513868, 'total_length': 54, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': True, 'cache_control': False, 'data': ''}
{'source_ip': '23.108.108.219', 'dest_ip': '10.0.2.15', 'source_port': 443, 'dest_port': 35204, 'timestamp': 1686053591.5156083, 'total_length': 3265, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': True, 'cache_control': True, 'data': ''}
{'source_ip': '10.0.2.15', 'dest_ip': '23.108.108.219', 'source_port': 35204, 'dest_port': 443, 'timestamp': 1686053591.5156624, 'total_length': 54, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': True, 'cache_control': False, 'data': ''}
{'source_ip': '10.0.2.15', 'dest_ip': '23.108.108.219', 'source_port': 35204, 'dest_port': 443, 'timestamp': 1686053591.5281703, 'total_length': 212, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': True, 'cache_control': True, 'data': ''}
{'source_ip': '23.108.108.219', 'dest_ip': '10.0.2.15', 'source_port': 443, 'dest_port': 35204, 'timestamp': 1686053591.5297265, 'total_length': 60, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': True, 'cache_control': False, 'data': ''}
{'source_ip': '23.108.108.219', 'dest_ip': '10.0.2.15', 'source_port': 443, 'dest_port': 35196, 'timestamp': 1686053591.7328126, 'total_length': 312, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': True, 'cache_control': True, 'data': ''}
{'source_ip': '10.0.2.15', 'dest_ip': '23.108.108.219', 'source_port': 35196, 'dest_port': 443, 'timestamp': 1686053591.7329211, 'total_length': 54, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': False, 'cache_control': False, 'data': ''}
{'source_ip': '23.108.108.219', 'dest_ip': '10.0.2.15', 'source_port': 443, 'dest_port': 35196, 'timestamp': 1686053591.7328126, 'total_length': 60, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': True, 'cache_control': False, 'data': ''}
{'source_ip': '10.0.2.15', 'dest_ip': '23.108.108.219', 'source_port': 35196, 'dest_port': 443, 'timestamp': 1686053591.733193, 'total_length': 54, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': False, 'cache_control': False, 'data': ''}
{'source_ip': '23.108.108.219', 'dest_ip': '10.0.2.15', 'source_port': 443, 'dest_port': 35188, 'timestamp': 1686053591.7328126, 'total_length': 7354, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': True, 'cache_control': False, 'data': ''}
{'source_ip': '23.108.108.219', 'dest_ip': '10.0.2.15', 'source_port': 443, 'dest_port': 35196, 'timestamp': 1686053591.7342148, 'total_length': 60, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': True, 'cache_control': False, 'data': ''}
{'source_ip': '10.0.2.15', 'dest_ip': '23.108.108.219', 'source_port': 35188, 'dest_port': 443, 'timestamp': 1686053591.7345967, 'total_length': 54, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': True, 'cache_control': False, 'data': ''}
{'source_ip': '23.108.108.219', 'dest_ip': '10.0.2.15', 'source_port': 443, 'dest_port': 35188, 'timestamp': 1686053591.735525, 'total_length': 4302, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': True, 'cache_control': True, 'data': ''}
{'source_ip': '10.0.2.15', 'dest_ip': '23.108.108.219', 'source_port': 35188, 'dest_port': 443, 'timestamp': 1686053591.7357533, 'total_length': 54, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': True, 'cache_control': False, 'data': ''}
{'source_ip': '10.0.2.15', 'dest_ip': '23.108.108.219', 'source_port': 35188, 'dest_port': 443, 'timestamp': 1686053591.7377534, 'total_length': 92, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': True, 'cache_control': True, 'data': ''}
{'source_ip': '23.108.108.219', 'dest_ip': '10.0.2.15', 'source_port': 443, 'dest_port': 35188, 'timestamp': 1686053591.738342, 'total_length': 60, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': True, 'cache_control': False, 'data': ''}
{'source_ip': '23.108.108.219', 'dest_ip': '10.0.2.15', 'source_port': 443, 'dest_port': 35204, 'timestamp': 1686053591.7501724, 'total_length': 381, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': True, 'cache_control': True, 'data': ''}
{'source_ip': '10.0.2.15', 'dest_ip': '23.108.108.219', 'source_port': 35204, 'dest_port': 443, 'timestamp': 1686053591.7943397, 'total_length': 54, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': True, 'cache_control': False, 'data': ''}
{'source_ip': '10.0.2.15', 'dest_ip': '23.108.108.219', 'source_port': 35188, 'dest_port': 443, 'timestamp': 1686053591.9341812, 'total_length': 196, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': True, 'cache_control': True, 'data': ''}
{'source_ip': '23.108.108.219', 'dest_ip': '10.0.2.15', 'source_port': 443, 'dest_port': 35188, 'timestamp': 1686053591.935324, 'total_length': 60, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': True, 'cache_control': False, 'data': ''}
{'source_ip': '23.108.108.219', 'dest_ip': '10.0.2.15', 'source_port': 443, 'dest_port': 35188, 'timestamp': 1686053591.9501483, 'total_length': 1514, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': True, 'cache_control': True, 'data': ''}
{'source_ip': '23.108.108.219', 'dest_ip': '10.0.2.15', 'source_port': 443, 'dest_port': 35188, 'timestamp': 1686053591.9501488, 'total_length': 3548, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': True, 'cache_control': True, 'data': ''}
{'source_ip': '10.0.2.15', 'dest_ip': '23.108.108.219', 'source_port': 35188, 'dest_port': 443, 'timestamp': 1686053591.9511254, 'total_length': 54, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': True, 'cache_control': False, 'data': ''}
{'source_ip': '10.0.2.15', 'dest_ip': '172.217.18.98', 'source_port': 35110, 'dest_port': 443, 'timestamp': 1686053592.0611324, 'total_length': 74, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': False, 'cache_control': False, 'data': ''}
{'source_ip': '172.217.18.98', 'dest_ip': '10.0.2.15', 'source_port': 443, 'dest_port': 35110, 'timestamp': 1686053592.138273, 'total_length': 60, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': True, 'cache_control': False, 'data': ''}
{'source_ip': '10.0.2.15', 'dest_ip': '172.217.18.98', 'source_port': 35110, 'dest_port': 443, 'timestamp': 1686053592.1383812, 'total_length': 54, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': True, 'cache_control': False, 'data': ''}
{'source_ip': '10.0.2.15', 'dest_ip': '172.217.18.98', 'source_port': 35110, 'dest_port': 443, 'timestamp': 1686053592.1432815, 'total_length': 571, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': True, 'cache_control': True, 'data': ''}
{'source_ip': '172.217.18.98', 'dest_ip': '10.0.2.15', 'source_port': 443, 'dest_port': 35110, 'timestamp': 1686053592.1440494, 'total_length': 60, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': True, 'cache_control': False, 'data': ''}
{'source_ip': '23.108.108.219', 'dest_ip': '10.0.2.15', 'source_port': 443, 'dest_port': 35188, 'timestamp': 1686053592.163382, 'total_length': 11734, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': True, 'cache_control': False, 'data': ''}
{'source_ip': '10.0.2.15', 'dest_ip': '23.108.108.219', 'source_port': 35188, 'dest_port': 443, 'timestamp': 1686053592.1696672, 'total_length': 54, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': True, 'cache_control': False, 'data': ''}
{'source_ip': '23.108.108.219', 'dest_ip': '10.0.2.15', 'source_port': 443, 'dest_port': 35188, 'timestamp': 1686053592.1706836, 'total_length': 13194, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': True, 'cache_control': False, 'data': ''}
{'source_ip': '10.0.2.15', 'dest_ip': '23.108.108.219', 'source_port': 35188, 'dest_port': 443, 'timestamp': 1686053592.173855, 'total_length': 54, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': True, 'cache_control': False, 'data': ''}
{'source_ip': '23.108.108.219', 'dest_ip': '10.0.2.15', 'source_port': 443, 'dest_port': 35188, 'timestamp': 1686053592.1747904, 'total_length': 10274, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': True, 'cache_control': True, 'data': ''}
{'source_ip': '10.0.2.15', 'dest_ip': '23.108.108.219', 'source_port': 35188, 'dest_port': 443, 'timestamp': 1686053592.1811728, 'total_length': 54, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': True, 'cache_control': False, 'data': ''}
{'source_ip': '172.217.18.98', 'dest_ip': '10.0.2.15', 'source_port': 443, 'dest_port': 35110, 'timestamp': 1686053592.2257223, 'total_length': 2974, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': True, 'cache_control': False, 'data': ''}
{'source_ip': '10.0.2.15', 'dest_ip': '172.217.18.98', 'source_port': 35110, 'dest_port': 443, 'timestamp': 1686053592.2258434, 'total_length': 54, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': True, 'cache_control': False, 'data': ''}
{'source_ip': '172.217.18.98', 'dest_ip': '10.0.2.15', 'source_port': 443, 'dest_port': 35110, 'timestamp': 1686053592.2263653, 'total_length': 1845, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': True, 'cache_control': True, 'data': ''}
{'source_ip': '10.0.2.15', 'dest_ip': '172.217.18.98', 'source_port': 35110, 'dest_port': 443, 'timestamp': 1686053592.2263775, 'total_length': 54, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': True, 'cache_control': False, 'data': ''}
{'source_ip': '10.0.2.15', 'dest_ip': '172.217.18.98', 'source_port': 35110, 'dest_port': 443, 'timestamp': 1686053592.2337391, 'total_length': 128, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': True, 'cache_control': True, 'data': ''}
